Field,Variable,Percentage,Gender,Prop_Top,Representation
Geology,Citations,0.16400984704790347,female,25,0.9783669700230709
Geology,Citations,0.8359901529520966,male,25,1.0043568476748095
Geology,Citations,0.1645149041199924,female,26,0.9813797839863937
Geology,Citations,0.8354850958800076,male,26,1.0037500731487845
Geology,Citations,0.1654822428359979,female,27,0.9871502439044979
Geology,Citations,0.8345177571640021,male,27,1.002587914408026
Geology,Citations,0.16602453704525685,female,28,0.9903851883418204
Geology,Citations,0.8339754629547432,male,28,1.001936403262111
Geology,Citations,0.16627403949115518,female,29,0.9918735438058408
Geology,Citations,0.8337259605088448,male,29,1.0016366515375665
Geology,Citations,0.16687983232801654,female,30,0.9954872762306299
Geology,Citations,0.8331201676719834,male,30,1.0009088532712525
Geology,Citations,0.16735053452805182,female,31,0.9982951532789953
Geology,Citations,0.8326494654719482,male,31,1.000343352617744
Geology,Citations,0.1675346167861047,female,32,0.9993932580836026
Geology,Citations,0.8324653832138953,male,32,1.000122196572116
Geology,Citations,0.1675346167861047,female,33,0.9993932580836026
Geology,Citations,0.8324653832138953,male,33,1.000122196572116
Geology,Citations,0.16770055801145012,female,34,1.0003831462931543
Geology,Citations,0.8322994419885499,male,34,0.9999228351258136
Geology,Citations,0.1679266029826129,female,35,1.0017315710219505
Geology,Citations,0.8320733970173871,male,35,0.9996512651630957
Geology,Citations,0.1679266029826129,female,36,1.0017315710219505
Geology,Citations,0.8320733970173871,male,36,0.9996512651630957
Geology,Citations,0.16812552681060752,female,37,1.0029182101559024
Geology,Citations,0.8318744731893924,male,37,0.9994122784859121
Geology,Citations,0.16812552681060752,female,38,1.0029182101559024
Geology,Citations,0.8318744731893924,male,38,0.9994122784859121
Geology,Citations,0.1682750849644694,female,39,1.0038103685260846
Geology,Citations,0.8317249150355306,male,39,0.999232599627942
Geology,Citations,0.1682750849644694,female,40,1.0038103685260846
Geology,Citations,0.8317249150355306,male,40,0.999232599627942
Geology,Citations,0.1682750849644694,female,41,1.0038103685260846
Geology,Citations,0.8317249150355306,male,41,0.999232599627942
Geology,Citations,0.16833212972137782,female,42,1.0041506572768928
Geology,Citations,0.8316678702786222,male,42,0.9991640661745005
Geology,Citations,0.16833212972137782,female,43,1.0041506572768928
Geology,Citations,0.8316678702786222,male,43,0.9991640661745005
Geology,Citations,0.16833212972137782,female,44,1.0041506572768928
Geology,Citations,0.8316678702786222,male,44,0.9991640661745005
Geology,Citations,0.16833212972137782,female,45,1.0041506572768928
Geology,Citations,0.8316678702786222,male,45,0.9991640661745005
Geology,Citations,0.1684568609511871,female,46,1.004894715743944
Geology,Citations,0.8315431390488129,male,46,0.9990142143319453
Geology,Citations,0.1684568609511871,female,47,1.004894715743944
Geology,Citations,0.8315431390488129,male,47,0.9990142143319453
Geology,Citations,0.1684568609511871,female,48,1.004894715743944
Geology,Citations,0.8315431390488129,male,48,0.9990142143319453
Geology,Citations,0.1684568609511871,female,49,1.004894715743944
Geology,Citations,0.8315431390488129,male,49,0.9990142143319453
Geology,Citations,0.1683363592429566,female,50,1.0041758876169373
Geology,Citations,0.8316636407570434,male,50,0.9991589848359881
Geology,Citations,0.1683363592429566,female,51,1.0041758876169373
Geology,Citations,0.8316636407570434,male,51,0.9991589848359881
Geology,Citations,0.1683363592429566,female,52,1.0041758876169373
Geology,Citations,0.8316636407570434,male,52,0.9991589848359881
Geology,Citations,0.1683363592429566,female,53,1.0041758876169373
Geology,Citations,0.8316636407570434,male,53,0.9991589848359881
Geology,Citations,0.1683363592429566,female,54,1.0041758876169373
